1,Soil Series,Name,"Erodibility 
Class","Runoff
 Class  
",PSCG,N leaching,Type,Substrata,Modifier,"Soil 
Acidity
Group
",,1,,,,,,,Formula,N,P,K,,,N (Below),P(Below),K(Below),N(Above),P(Above),K(Above),"Fertilizer
Rec.",,,,,,,,,,
2,,,,,,,,,,,,2,Arecibo USDA Service Center,,,,,,,,,,,,2,3,4,5,6,7,8,,,,,,,,,,
3,Aceitunas-AaB(SJ),Aceitunas,Low,Low,Very High,Medium,L,C,ae,AG 3,,3,Caguas USDA Service Center,,,,,,05-10-10,5,10,10,,Avocado 2 Yrs or Less (LD),14,3,10,14,,,"Split in two applications, before flowering and after fruit development at a rate of 2 lb to 3 lb using the formulas 12-6-8, 12-6-10, 10-5-20 or a similar one on soils with low soil test values.  ",,,,,,,,,,
4,Aceitunas-AaC(A),Aceitunas,Medium,Medium,High,High,L,C,ae,AG 3,,4,Corozal USDA Service Center,,,,,,05-25-05,5,25,5,,Avocado 4 Yrs or Less (LD),40,9,28,40,,,"Split in two applications, before flowering and after fruit development at a rate of 6 lb to 8 lb using the formulas 12-6-8, 12-6-10, 10-5-20 or a similar one on soils with low soil test values.  ",,,,,,,,,,
5,Aceitunas-AaC(SJ),Aceitunas,Low,Medium,Very High,Medium,L,C,ae,AG 3,,5,Juana Diaz USDA Service Center,,,,,,06-06-12,6,6,12,,Avocado 6 Yrs or Less (LD),92,20,63,92,,,"Split in two applications, before flowering and after fruit development at a rate of 12 lb to 20 lb using the formulas 12-6-8, 12-6-10, 10-5-20 or a similar one on soils with low soil test values.  ",,,,,,,,,,
6,Aceitunas-AaC2(M),Aceitunas,Medium,Medium,Very High,Medium,L,C,ae,AG 3,,6,Mayaguez USDA Service Center,,,,,,06-08-10,6,8,10,,Avocado 2 Yrs or Less (HD),21,5,14,21,,,"Split in three applications at a rate of 0.5 lb per tree using the formulas 12-6-8, 12-6-10, 10-5-20 or a similar one on soils with low soil test values.  ",,,,,,,,,,
7,Aceitunas-AbC2(M),Aceitunas,Medium,Medium,High,Medium,L,C,ae,AG 3,,7,San Sebastian USDA Service Center,,,,,,07-16-16,7,16,16,,Avocado 4 Yrs or Less (HD),59,12,40,59,,,"Split in two applications, before flowering and after fruit development at a rate of 4 lb to 6 lb using the formulas 12-6-8, 12-6-10, 10-5-20 or a similar one on soils with low soil test values.  ",,,,,,,,,,
8,Aceitunas-AbE(SJ),Aceitunas,High,Medium,Very High,Medium,L,C,ae,AG 3,,8,St. Croix USDA Service Center,,,,,,08-06-10,8,6,10,,Avocado 6 Yrs or Less (HD),134,29,92,134,,,"Split in two applications, before flowering and after fruit development at a rate of 8 lb to 10 lb using the formulas 12-6-8, 12-6-10, 10-5-20 or a similar one on soils with low soil test values.  ",,,,,,,,,,
9,Aceitunas-AcC(A),Aceitunas,Medium,Medium,Very High,Medium,L,C,ae,AG 3 ,,9,Utuado USDA Service Center,,,,,,08-08-10,8,8,10,,Banana (LD),252,18,517,252,,,"Split in four applications (2,5,8,10 months post plant), using a fertilizer formula 10-2-25 or a similar one at a rate of 1/2 lb, 3/4 lb, 1lb, and 3/4 per plant and application on soils with low soil test values. Application rate should be adjusted, if you change fertilizer amount. ",,,,,,,,,,
10,Aceitunas-AcC(H),Aceitunas,Medium,Medium,Very High,Medium,L,C,ae,AG 3 ,,,,,,,,,08-08-12,8,8,12,,Banana (HD),422,30,865,422,,,"Split in four applications (2,5,8,10 months post plant), using a fertilizer formula 10-2-25 or a similar one at a rate of 1/2 lb, 3/4 lb, 1lb, and 3/4 per plant and application on soils with low soil test values. Application rate should be adjusted, if you change fertilizer amount. ",,,,,,,,,,
11,Adjuntas-AaF2(P),Adjuntas,Very High,High,High,Low,C,C,eh,AG 3,,Soil Test Categories,,,,,,,08-10-20,8,10,20,,Bean,50,25,94,,4,18,Apply fertilizer at pre-planting and at flowering season. ,,,,,,,,,,
