,1,,,,,,,Formula,N,P,K,,,,,N Test,P Test,K Test,,,,,,,,,,,,,,,,,,
,2,Arecibo USDA Service Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Caguas USDA Service Center,,,,,,05-10-10,5,10,10,,NRC,,,N Total (%),Bray I,,,,,,,,,,,,,,,,,,,
,4,Corozal USDA Service Center,,,,,,05-25-05,5,25,5,,UPRM - CTA,,,,Olsen,,,,,,,,,,,,,,,,,,,
,5,Juana Diaz USDA Service Center,,,,,,06-06-12,6,6,12,,,,,,Mehlich 3,,,,,,,,,,,,,,,,,,,
,6,Mayaguez USDA Service Center,,,,,,06-08-10,6,8,10,,,,,,,,,,,,,,,,,,,,,,,,,
,7,San Sebastian USDA Service Center,,,,,,07-16-16,7,16,16,,=TODAY(),,,,,,,,,,,,,,,,,,,,,,,
,8,St. Croix USDA Service Center,,,,=82/100,,08-06-10,8,6,10,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Utuado USDA Service Center,,,,=2000*G8,,08-08-10,8,8,10,,,,=(P24/100)*(2000),,=(S14/100)*1000,,,,,,,,DM*N concetration,,,,,,,,,,,
,,,,,,,,08-08-12,8,8,12,,,,,,,,,,,,,,,,,,,=0.0295,,,,,,
,Soil Test Categories,,,,,,,08-10-20,8,10,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,L,M,H,,,,08-24-24,8,24,24,,,,Total N,Total P,Total K,Total N,Total P,Total K,Moisture,Total Solid,,Dry matter yield (kg/ha),,,,,,N concentration,,,,Above-ground N extraction,,
,P Bray I,<12,>=12<=22,>22,,,,10-02-30,10,2,30,,,Select Animal,% db,,,% wb,,,%wb,%db,,,,Mean,-95% CI,+95%,,Mean,-95% CI,+95%,,Mean,-95% CI,+95% CI
,P Olsen,<8,>=8<=16,>16,,,,10-05-15,10,5,15,,,Beef-Cow (confinement),2.87878787878788,0.666666666666667,2.12121212121212,0.345454545454545,0.08,0.254545454545455,88,12,,,,,,CI,,,,CI,,,,
,P Mehlich,<14,>=14<=32,>32,,,,10-05-20,10,5,20,,,Beef-Growing calf (confinement),4.81481481481481,0.925925925925926,3.14814814814815,0.577777777777778,0.111111111111111,0.377777777777778,88,12,,,n =,kg/ha,,,n =,g/kg,,,n =,kg N/ha,,
,Ca,<600,>=600<=1200,>1200,,,,10-05-30,10,5,30,,,Dairy-Lactating cow,5.0561797752809,0.876404494382022,1.15730337078652,0.657303370786517,0.113932584269663,0.150449438202247,87,13,,Canavalia,36,4025,3222,4827,30,2.95,2.45,3.45,30,110.5,90.6,130.4
,Mg,<182,>=182<=304,>304,,,,10-10-05,10,10,5,,,Dairy-Dry cow,4.69387755102041,0.612244897959184,3.02040816326531,0.610204081632653,0.0795918367346939,0.39265306122449,87,13,,Sunnhemp,53,5985,4787,7184,51,2.53,2.25,2.82,51,126.1,101.1,151.2
,K,<78,>=78<=156,>156,,,,10-10-08,10,10,8,,,Dairy-Milk-fed calves,nr,nr,nr,nr,nr,nr,nr,nr,,Mucuna,33,3156,2391,3922,28,2.93,2.56,3.3,28,96.6,76.9,116.3
,Fe,<2.5,>=2.5<=4.5,>4.5,,,,10-10-10,10,10,10,,,"Dairy-Calf, 150 kg",4.5,nr,nr,0.765,nr,nr,83,17,,Gandul,31,6671,5315,8028,29,2.09,1.9,2.28,29,136.9,111.9,162
,Mn,<1.0,1,>1.0,,,,10-10-20,10,10,20,,,"Dairy-Heifer, 440 kg",3.24324324324324,0.54054054054054,nr,0.551351351351351,0.0918918918918919,nr,83,17,,Cowpea,29,2997,2203,3792,24,2.8,2.56,3.03,24,92.3,74.1,110.4
,Zn,<0.5,>=0.5<=1,>1,,,,10-15-15,10,15,15,,,"Dairy-Veal, 118 kg",12.5,3.75,16.5833333333333,0.5,0.15,0.663333333333334,96,4,,Arachis,40,4518,2347,6689,28,1.27,1.02,1.53,28,107.3,25.9,188.7
,Cu,<0.2,0.2,>0.2,,,,10-20-20,10,20,20,,,"Horse-Sedentary, 500 kg",2.34210526315789,0.342105263157895,0.710526315789474,0.351315789473684,0.0513157894736842,0.106578947368421,85,15,,Other,,,,,,1,,,,,,
,,,,,,,,10-25-25,10,25,25,,,"Horse-Intense exercise, 500 kg",3.84615384615385,0.846153846153846,2.43589743589744,0.576923076923077,0.126923076923077,0.365384615384615,85,15,,,,,,,,,,,,,,
,,,,,,,,12-03-12,12,3,12,,,Poultry-Layer,7.27272727272727,2.18181818181818,2.63636363636364,1.81818181818182,0.545454545454546,0.659090909090909,75,25,,,,,,,,,,,,,,
,Soil Survey Area,,,,,,,12-04-06,12,4,6,,,Poultry-Broiler,4.07692307692308,1.23076923076923,2.38461538461538,1.06,0.32,0.62,74,26,,,,,,,,,,,,,,
,,,,,,,,12-04-10,12,4,10,,,"Swine-Gestating sow, 200 kg",6.4,1.8,4.4,0.64,0.18,0.44,90,10,,,,,,,,,,,,,,
,Arecibo,,,,,,,12-05-15,12,5,15,,,"Swine-Lactating sow, 192 kg",7.08333333333333,2.08333333333333,4.41666666666667,0.708333333333333,0.208333333333333,0.441666666666667,90,10,,,,,,,,,,,,,,
,Mayaguez,,,,,,,12-05-20,12,5,20,,,Swine-Boar 200 kg,7.36842105263158,2.55263157894737,4.63157894736842,0.736842105263158,0.255263157894737,0.463157894736842,90,10,,,,,,,,,,,,,,
